feature,imp_RF,corr_max_V4,correlata_V4,motivo
best_node.iq_range,0.002655988890279551,0.8224738115228953,best_node.sd,Nao escolhida pelo GA (redundante no conjunto)
cor.max,0.0026522797985027687,0.7708526427353091,cor.sd,Nao escolhida pelo GA (redundante no conjunto)
tree_imbalance.kurtosis,0.0026380115205907996,0.9138066722699442,tree_imbalance.skewness,Nao escolhida pelo GA (redundante no conjunto)
max.sd,0.002601398998450345,0.9880475662502863,iq_range.sd,Redundante (cortada no filtro de correlacao V3)
one_nn.skewness,0.0025995844121485517,0.21122831267661554,n3.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
leaves_corrob.iq_range,0.0025985689192908534,0.5171923521498449,f3.max,Nao escolhida pelo GA (redundante no conjunto)
tree_shape.sd,0.002585583903250496,0.4971008340322685,nr_inst,Nao escolhida pelo GA (redundante no conjunto)
nr_num,0.0025799821085216545,0.5350087093397098,f1.kurtosis,Redundante (cortada no filtro de correlacao V3)
median.kurtosis,0.002578174859253698,0.9038018421233295,iq_range.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
max.mean,0.0025770613530072617,0.8448516454960308,cov.max,Redundante (cortada no filtro de correlacao V3)
attr_ent.kurtosis,0.0025612620001556575,0.49233179365577145,f1.kurtosis,Nao escolhida pelo GA (redundante no conjunto)
range.mean,0.002555866138530029,0.8448490631551002,cov.max,Redundante (cortada no filtro de correlacao V3)
linear_discr.sd,0.0025171655308740327,0.702044371392067,best_node.sd,Nao escolhida pelo GA (redundante no conjunto)
min.mean,0.002507139478214029,0.35667803744358895,attr_ent.min,Nao escolhida pelo GA (redundante no conjunto)
worst_node.median,0.002501674257141248,0.8975135510797551,random_node.max,Redundante (cortada no filtro de correlacao V3)
f1.min,0.0024969339629301434,0.7785558429767658,can_cor.max,Nao escolhida pelo GA (redundante no conjunto)
tree_imbalance.sd,0.0024941118315149795,0.490488274823836,tree_imbalance.iq_range,Nao escolhida pelo GA (redundante no conjunto)
range.median,0.0024896220381405284,0.8326151655840252,cov.max,Redundante (cortada no filtro de correlacao V3)
sparsity.median,0.0024777491790853264,0.6817596208230629,sparsity.min,Redundante (cortada no filtro de correlacao V3)
elite_nn.min,0.0024772300572917846,0.7103414662197778,elite_nn.max,Nao escolhida pelo GA (redundante no conjunto)
l2.min,0.0024746202453801995,0.8506923675271193,l1.mean,Redundante (cortada no filtro de correlacao V3)
joint_ent.mean,0.0024696429402644637,0.9063158058088584,joint_ent.min,Nao escolhida pelo GA (redundante no conjunto)
leaves_branch.mean,0.002442475340248696,0.6870555733699003,tree_imbalance.skewness,Redundante (cortada no filtro de correlacao V3)
